Image Path,RJ1,Dist_RJ1,RJ2,Dist_RJ2,RJ3,Dist_RJ3,RJ4,Dist_RJ4,RJ5,Dist_RJ5,Morphe1,Morphe2,Morphe3,Morphe4,Morphe5
cropped_faces/cropped_tess_breeden.jpg,lightmedium_pink,41,lightmedium_mediumneutral,55,light_pink,65,tan_neutral,66,medium_golden,69,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_abby_champion.jpg,lightmedium_pink,38,lightmedium_mediumneutral,52,tan_neutral,63,medium_golden,66,lightmedium_peach,68,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_ida_heiner.jpg,lightmedium_pink,37,lightmedium_mediumneutral,51,tan_neutral,62,medium_golden,65,lightmedium_peach,67,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_devyn_garcia.jpg,lightmedium_pink,35,lightmedium_mediumneutral,49,medium_golden,63,tan_neutral,64,lightmedium_peach,65,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_adamu_bulus.jpg,deep_red,43,deepest_goldenred,55,deep_neutral,66,deep_golden,73,deeprich_neutral,95,light_mediumgold,light_neutral,lightmedium_peach,lightmedium_pink,lightmedium_mediumneutral
cropped_faces/cropped_salomon_diaz.jpg,deep_red,27,deepest_goldenred,35,deep_neutral,42,deep_golden,61,deeprich_neutral,79,light_mediumgold,light_neutral,lightmedium_peach,lightmedium_pink,lightmedium_mediumneutral
cropped_faces/cropped_adut_akech.jpg,deep_red,57,deepest_goldenred,65,deep_neutral,76,deepest_red,79,deep_golden,91,rich_neutral,rich_neutralgold,deeprich_neutral,deeprich_goldenred,deeprich_neutralred
cropped_faces/cropped_ajok_daing.jpg,deep_red,41,deepest_goldenred,49,deep_neutral,60,deepest_red,73,deep_golden,75,fairlight_neutral,fairlight_peach,fairlight_pink,nan,nan
cropped_faces/cropped_sang_woo_kim.jpg,fairlight_neutral,10,light_pink,34,fairlight_peach,35,light_golden,37,fairlight_pink,38,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_maty_drazek.jpg,fairlight_neutral,15,fairlight_pink,29,light_pink,37,fairlight_peach,40,light_golden,40,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_penelope_ternes.jpg,fairlight_neutral,34,fairlight_pink,48,light_pink,50,light_golden,57,fairlight_peach,59,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
cropped_faces/cropped_clement_chabernaud.jpg,fairlight_neutral,17,fairlight_pink,31,fairlight_peach,42,light_pink,43,lightmedium_neutral,45,fairlight_pink,light_golden,light_neutral,light_pink,light_mediumgold
