tone_name,R,G,B,R_A,G_A,B_A
deepest_goldenred,127,57,34,0.4980392157,0.2235294118,0.1333333333
deeprich_neutral,160,75,9,0.6274509804,0.2941176471,0.03529411765
deeptan_goldenred,246,142,82,0.9647058824,0.5568627451,0.3215686275
fairlight_peach,255,203,163,1,0.7960784314,0.6392156863
light_neutral,255,190,144,1,0.7450980392,0.5647058824
lightmedium_peach,253,184,135,0.9921568627,0.7215686275,0.5294117647
medium_neutraltan,252,179,126,0.9882352941,0.7019607843,0.4941176471
rich_golden,224,124,51,0.8784313725,0.4862745098,0.2
tan_neutralgold,250,159,102,0.9803921569,0.6235294118,0.4
